time_step,timestamp,P_cmd,total_P_actual,total_available_energy,total_available_power,P_氢燃料电池,SOC_氢燃料电池,E_available_氢燃料电池,P_铁硫电池,SOC_铁硫电池,E_available_铁硫电池,P_钠电池,SOC_钠电池,E_available_钠电池,P_钒液流电池,SOC_钒液流电池,E_available_钒液流电池
20,2025-12-13 09:28:33.740879,78.03686613814605,78.02568534498178,201.58645493343974,88,50.955913897088976,79.76952822564125,95.7234338707695,4.101219216982984,84.76378520421794,8.476378520421793,19.999645932836334,89.88190608840588,89.88190608840588,2.968906298073492,74.8201361000225,7.48201361000225
21,2025-12-13 09:28:34.740879,77.32013398050057,77.3135347337206,201.5637320895994,88,50.32311104371266,79.75726625901267,95.7087195108152,4.03524972911577,84.75160147919041,8.475160147919041,19.999517234242358,89.87623729100389,89.87623729100389,2.9556567266498233,74.81101370271801,7.481101370271801
22,2025-12-13 09:28:35.740879,77.80441966795574,77.79964800146746,201.54121832000993,88,50.75206421650996,79.74489977163047,95.69387972595656,4.077595588271059,84.73928989830794,8.473928989830794,19.999994127013167,89.8705683584282,89.8705683584282,2.9699940696732763,74.80184705435482,7.480184705435482
23,2025-12-13 09:28:36.740879,76.1444974403175,76.13300498237456,201.51856177965104,88,49.26074307695053,79.73289666659223,95.67947599991066,3.939509032006779,84.72739524543353,8.472739524543352,19.999988762813935,89.86489942737298,89.86489942737298,2.932764110603297,74.79279531327272,7.479279531327272
24,2025-12-13 09:28:37.740879,72.31279639213388,72.30905180035133,201.4963944831543,88,45.859942485912214,79.72172221666875,95.66606666000251,3.6362899504784316,84.71641610910962,8.471641610910961,19.99925097932769,89.85923070544005,89.85923070544005,2.8135683846330037,74.78411146023373,7.478411146023372
25,2025-12-13 09:28:38.740879,67.0504345557497,67.04703865399814,201.4753501223769,88,41.19297484552141,79.71168494209626,95.6540219305155,3.230175652211999,84.7066631632998,8.470666316329979,19.99982424228515,89.85356182101764,89.85356182101764,2.624063913979589,74.77601249753626,7.477601249753626
26,2025-12-13 09:28:39.740879,68.88105523750265,68.87828225393419,201.45585131761675,88,42.815556365687605,79.70125230165627,95.64150276198752,3.3690520803053317,84.69649090460322,8.469649090460322,19.999859108691478,89.84789292671245,89.84789292671245,2.6938146992497747,74.76769825463734,7.476769825463734
27,2025-12-13 09:28:40.740879,61.2782980218704,61.27234442029645,201.43581460462406,88,36.08179955788755,79.69246044016556,95.63095252819866,2.801750830432386,84.68803151199926,8.468803151199925,19.999999982196503,89.84222399247713,89.84222399247713,2.388794049780019,74.76032543349604,7.4760325433496035
28,2025-12-13 09:28:41.740879,60.52991905499014,60.51422730676861,201.4180122152253,88,35.086664670163344,79.68391105793599,95.62069326952319,2.980551253984677,84.679032263044,8.467903226304399,19.999961922447913,89.83655506902973,89.83655506902973,2.44704946017267,74.75277281170538,7.475277281170538
29,2025-12-13 09:28:42.740879,61.18556203155384,61.17225333520078,201.40042884602786,88,35.94303349278965,79.6751530088393,95.61018361060717,2.8254546873079884,84.67050130082386,8.467050130082384,19.999999999999275,89.83088613478937,89.83088613478937,2.4037651551038612,74.74535378344889,7.474535378344889
