time_seconds,time_hours,total_power,氢燃料电池_power,氢燃料电池_SOC,氢燃料电池_energy,铁硫电池_power,铁硫电池_SOC,铁硫电池_energy,钠电池_power,钠电池_SOC,钠电池_energy,钒液流电池_power,钒液流电池_SOC,钒液流电池_energy
53,0.014722222222222222,-100.0,-60.0,75.4195833333337,150.8391666666674,-5.0,86.06772222222196,86.06772222222196,-29.998380808533845,92.43281705506219,92.43281705506219,-5.0,82.06624999999994,82.06624999999994
54,0.015,-100.0,-60.0,75.42750000000038,150.85500000000076,-5.0,86.06899999999973,86.06899999999972,-29.998378385467912,92.44098328094896,92.44098328094896,-5.0,82.06749999999994,82.06749999999994
55,0.015277777777777777,-100.0,-60.0,75.43541666666705,150.8708333333341,-5.0,86.0702777777775,86.0702777777775,-29.998375950934328,92.44914950617611,92.44914950617611,-5.0,82.06874999999994,82.06874999999995
56,0.015555555555555555,-100.0,-60.0,75.44333333333373,150.88666666666745,-5.0,86.07155555555528,86.07155555555528,-29.998373514643607,92.45731573074053,92.45731573074053,-5.0,82.06999999999994,82.06999999999992
57,0.015833333333333335,-100.0,-60.0,75.4512500000004,150.9025000000008,-5.0,86.07283333333305,86.07283333333305,-29.998371066274693,92.46548195464175,92.46548195464175,-5.0,82.07124999999994,82.07124999999992
58,0.01611111111111111,-100.0,-60.0,75.45916666666707,150.91833333333415,-5.0,86.07411111111082,86.07411111111084,-29.998368615630902,92.47364817787646,92.47364817787646,-5.0,82.07249999999993,82.07249999999993
59,0.01638888888888889,-100.0,-60.0,75.46708333333375,150.9341666666675,-5.0,86.0753888888886,86.0753888888886,-29.998366151534974,92.48181440044404,92.48181440044404,-5.0,82.07374999999993,82.07374999999993
60,0.016666666666666666,-100.0,-60.0,75.47500000000042,150.95000000000084,-5.0,86.07666666666637,86.07666666666637,-29.998363686233912,92.48998062234084,92.48998062234085,-5.0,82.07499999999993,82.07499999999993
61,0.016944444444444446,-100.0,-60.0,75.4829166666671,150.9658333333342,-5.0,86.07794444444414,86.07794444444414,-29.998361205850923,92.49814684356653,92.49814684356653,-5.0,82.07624999999993,82.07624999999993
62,0.017222222222222222,-100.0,-60.0,75.49083333333377,150.98166666666754,-5.0,86.07922222222192,86.0792222222219,-29.998358730645542,92.50631306411701,92.50631306411701,-5.0,82.07749999999993,82.07749999999993
63,0.0175,-100.0,-60.0,75.49875000000044,150.99750000000088,-5.0,86.08049999999969,86.08049999999969,-29.998356235479548,92.51447928399368,92.51447928399368,-5.0,82.07874999999993,82.07874999999993
64,0.017777777777777778,-100.0,-60.0,75.50666666666712,151.01333333333423,-5.0,86.08177777777746,86.08177777777746,-29.998353740058626,92.52264550319111,92.5226455031911,-5.0,82.07999999999993,82.07999999999993
65,0.018055555555555554,-100.0,-60.0,75.51458333333379,151.02916666666758,-5.0,86.08305555555523,86.08305555555523,-29.99835123562277,92.53081172170924,92.53081172170923,-5.0,82.08124999999993,82.08124999999993
66,0.018333333333333333,-100.0,-60.0,75.52250000000046,151.04500000000093,-5.0,86.084333333333,86.08433333333302,-29.998348733025168,92.5389779395456,92.5389779395456,-5.0,82.08249999999992,82.08249999999992
67,0.01861111111111111,-100.0,-60.0,75.53041666666714,151.06083333333427,-5.0,86.08561111111078,86.08561111111078,-29.99834621840983,92.54714415670071,92.54714415670071,-5.0,82.08374999999992,82.08374999999992
68,0.01888888888888889,-100.0,-60.0,75.53833333333381,151.07666666666762,-5.0,86.08688888888855,86.08688888888855,-29.998343685530436,92.55531037317128,92.55531037317128,-5.0,82.08499999999992,82.08499999999992
69,0.019166666666666665,-100.0,-60.0,75.54625000000048,151.09250000000097,-5.0,86.08816666666632,86.08816666666632,-29.998341151248034,92.56347658895234,92.56347658895234,-5.0,82.08624999999992,82.08624999999992
70,0.019444444444444445,-100.0,-60.0,75.55416666666716,151.10833333333431,-5.0,86.0894444444441,86.08944444444408,-29.99833861217596,92.57164280404352,92.5716428040435,-5.0,82.08749999999992,82.08749999999992
71,0.01972222222222222,-100.0,-60.0,75.56208333333383,151.12416666666766,-5.0,86.09072222222187,86.09072222222187,-29.998336067108088,92.5798090184435,92.5798090184435,-5.0,82.08874999999992,82.08874999999993
72,0.02,-100.0,-60.0,75.5700000000005,151.140000000001,-5.0,86.09199999999964,86.09199999999964,-29.998333512465575,92.58797523215065,92.58797523215065,-5.0,82.08999999999992,82.08999999999993
73,0.020277777777777777,-100.0,-60.0,75.57791666666718,151.15583333333436,-5.0,86.09327777777742,86.09327777777742,-29.998330952624137,92.59614144516239,92.59614144516239,-5.0,82.09124999999992,82.0912499999999
74,0.020555555555555556,-100.0,-60.0,75.58583333333385,151.1716666666677,-5.0,86.09455555555519,86.0945555555552,-29.998328378202068,92.60430765747726,92.60430765747725,-5.0,82.09249999999992,82.09249999999992
75,0.020833333333333332,-100.0,-60.0,75.59375000000053,151.18750000000105,-5.0,86.09583333333296,86.09583333333296,-29.998325798266126,92.61247386909133,92.61247386909133,-5.0,82.09374999999991,82.09374999999991
76,0.021111111111111112,-100.0,-60.0,75.6016666666672,151.2033333333344,-5.0,86.09711111111073,86.09711111111073,-29.998323214175485,92.62064008000308,92.62064008000308,-5.0,82.09499999999991,82.09499999999991
77,0.021388888888888888,-100.0,-60.0,75.60958333333387,151.21916666666775,-5.0,86.09838888888851,86.09838888888851,-29.998320624170184,92.62880629021139,92.62880629021137,-5.0,82.09624999999991,82.09624999999991
78,0.021666666666666667,-100.0,-60.0,75.61750000000055,151.2350000000011,-5.0,86.09966666666628,86.09966666666627,-29.998318021029398,92.63697249971463,92.63697249971463,-5.0,82.09749999999991,82.09749999999991
79,0.021944444444444444,-100.0,-60.0,75.62541666666722,151.25083333333444,-5.0,86.10094444444405,86.10094444444405,-29.998315411855597,92.64513870850925,92.64513870850925,-5.0,82.09874999999991,82.09874999999991
80,0.022222222222222223,-100.0,-60.0,75.6333333333339,151.2666666666678,-5.0,86.10222222222183,86.10222222222183,-29.99831279939819,92.65330491659358,92.65330491659358,-5.0,82.09999999999991,82.09999999999991
81,0.0225,-100.0,-60.0,75.64125000000057,151.28250000000114,-5.0,86.1034999999996,86.1034999999996,-29.998310176722786,92.66147112396675,92.66147112396675,-5.0,82.10124999999991,82.10124999999991
82,0.02277777777777778,-100.0,-60.0,75.64916666666724,151.29833333333448,-5.0,86.10477777777737,86.10477777777739,-29.998307539531673,92.66963733062597,92.66963733062597,-5.0,82.1024999999999,82.1024999999999
83,0.023055555555555555,-100.0,-60.0,75.65708333333392,151.31416666666783,-5.0,86.10605555555514,86.10605555555514,-29.998304905468515,92.6778035365673,92.6778035365673,-5.0,82.1037499999999,82.1037499999999
84,0.023333333333333334,-100.0,-60.0,75.66500000000059,151.33000000000118,-5.0,86.10733333333292,86.10733333333292,-29.998302257598706,92.68596974179157,92.68596974179155,-5.0,82.1049999999999,82.1049999999999
85,0.02361111111111111,-100.0,-60.0,75.67291666666726,151.34583333333453,-5.0,86.10861111111069,86.10861111111069,-29.998299603319545,92.69413594629502,92.69413594629503,-5.0,82.1062499999999,82.1062499999999
86,0.02388888888888889,-100.0,-60.0,75.68083333333394,151.36166666666787,-5.0,86.10988888888846,86.10988888888845,-29.998296933194915,92.70230215007592,92.70230215007592,-5.0,82.1074999999999,82.1074999999999
87,0.024166666666666666,-100.0,-60.0,75.68875000000061,151.37750000000122,-5.0,86.11116666666624,86.11116666666624,-29.998294271463106,92.71046835312995,92.71046835312994,-5.0,82.1087499999999,82.10874999999992
88,0.024444444444444446,-100.0,-60.0,75.69666666666728,151.39333333333457,-5.0,86.11244444444401,86.11244444444401,-29.99829159079243,92.7186345554594,92.71863455545939,-5.0,82.1099999999999,82.10999999999989
89,0.024722222222222222,-100.0,-60.0,75.70458333333396,151.40916666666791,-5.0,86.11372222222178,86.11372222222178,-29.99828890016979,92.72680075705912,92.72680075705912,-5.0,82.1112499999999,82.11124999999988
90,0.025,-100.0,-60.0,75.71250000000063,151.42500000000126,-5.0,86.11499999999955,86.11499999999957,-29.998286205189032,92.73496695792639,92.73496695792639,-5.0,82.1124999999999,82.1124999999999
91,0.025277777777777777,-100.0,-60.0,75.7204166666673,151.4408333333346,-5.0,86.11627777777733,86.11627777777733,-29.998283504037882,92.74313315806002,92.74313315806003,-5.0,82.1137499999999,82.1137499999999
92,0.025555555555555557,-100.0,-60.0,75.72833333333398,151.45666666666796,-5.0,86.1175555555551,86.1175555555551,-29.998280789104708,92.75129935745834,92.75129935745834,-5.0,82.1149999999999,82.1149999999999
93,0.025833333333333333,-100.0,-60.0,75.73625000000065,151.4725000000013,-5.0,86.11883333333287,86.11883333333287,-29.998278074009406,92.75946555611759,92.75946555611759,-5.0,82.1162499999999,82.1162499999999
94,0.026111111111111113,-100.0,-60.0,75.74416666666733,151.48833333333465,-5.0,86.12011111111065,86.12011111111063,-29.99827534318353,92.76763175403774,92.76763175403774,-5.0,82.1174999999999,82.1174999999999
95,0.02638888888888889,-100.0,-60.0,75.752083333334,151.504166666668,-5.0,86.12138888888842,86.12138888888842,-29.998272605594757,92.77579795121449,92.77579795121449,-5.0,82.11874999999989,82.11874999999989
96,0.02666666666666667,-100.0,-60.0,75.76000000000067,151.52000000000135,-5.0,86.12266666666619,86.12266666666619,-29.998269868283092,92.783964147646,92.783964147646,-5.0,82.11999999999989,82.11999999999989
97,0.026944444444444444,-100.0,-60.0,75.76791666666735,151.5358333333347,-5.0,86.12394444444396,86.12394444444396,-29.998267106435627,92.79213034333237,92.79213034333237,-5.0,82.12124999999989,82.12124999999989
98,0.02722222222222222,-100.0,-60.0,75.77583333333402,151.55166666666804,-5.0,86.12522222222174,86.12522222222175,-29.998264349993743,92.8002965382669,92.8002965382669,-5.0,82.12249999999989,82.12249999999989
99,0.0275,-100.0,-60.0,75.7837500000007,151.5675000000014,-5.0,86.12649999999951,86.12649999999951,-29.998261575189773,92.80846273245108,92.80846273245108,-5.0,82.12374999999989,82.12374999999989
100,0.027777777777777776,-100.0,-60.0,75.79166666666737,151.58333333333474,-5.0,86.12777777777728,86.12777777777728,-29.998258800454735,92.81662892587988,92.81662892587988,-5.0,82.12499999999989,82.12499999999989
101,0.028055555555555556,-100.0,-60.0,75.79958333333404,151.59916666666808,-5.0,86.12905555555506,86.12905555555506,-29.998256011794023,92.82479511855334,92.82479511855334,-5.0,82.12624999999989,82.12624999999989
102,0.028333333333333332,-100.0,-60.0,75.80750000000072,151.61500000000143,-5.0,86.13033333333283,86.13033333333281,-29.998253219346417,92.83296131046767,92.83296131046767,-5.0,82.12749999999988,82.12749999999988
103,0.02861111111111111,-100.0,-60.0,75.81541666666739,151.63083333333478,-5.0,86.1316111111106,86.1316111111106,-29.998250412592082,92.84112750162183,92.84112750162183,-5.0,82.12874999999988,82.1287499999999
104,0.028888888888888888,-100.0,-60.0,75.82333333333406,151.64666666666812,-5.0,86.13288888888837,86.13288888888837,-29.99824759691011,92.84929369201193,92.84929369201193,-5.0,82.12999999999988,82.1299999999999
